raw_regime,regime,stress_score,mapping_method,match_distance,regime_model_id,fit_start_date,fit_end_date,assignment_start_date,assignment_end_date
1,0,-2.1881976174489024,sequential_centroid_match,0.006099672104755535,42,2018-03-29,2022-07-29,2022-08-01,2022-08-26
2,3,14.92892932023483,sequential_centroid_match,0.034721511576436576,42,2018-03-29,2022-07-29,2022-08-01,2022-08-26
3,2,1.9887130423824408,sequential_centroid_match,0.022529482249414628,42,2018-03-29,2022-07-29,2022-08-01,2022-08-26
0,1,1.3107770640878538,sequential_centroid_match,0.015626806693819377,43,2018-03-29,2022-08-26,2022-08-29,2022-09-26
1,0,-2.181983006373536,sequential_centroid_match,0.006753529742736268,43,2018-03-29,2022-08-26,2022-08-29,2022-09-26
2,3,15.033490812233644,sequential_centroid_match,0.0026572211602396483,43,2018-03-29,2022-08-26,2022-08-29,2022-09-26
3,2,1.9924830911901932,sequential_centroid_match,0.0073415279502552465,43,2018-03-29,2022-08-26,2022-08-29,2022-09-26
0,0,-2.227828184909109,sequential_centroid_match,0.006813983728282777,44,2018-03-29,2022-09-26,2022-09-27,2022-10-24
1,1,1.4221123607102983,sequential_centroid_match,0.03158289726035016,44,2018-03-29,2022-09-26,2022-09-27,2022-10-24
2,2,1.9546625152018156,sequential_centroid_match,0.0075603567718386415,44,2018-03-29,2022-09-26,2022-09-27,2022-10-24
3,3,15.10506780979225,sequential_centroid_match,0.0019995087816590718,44,2018-03-29,2022-09-26,2022-09-27,2022-10-24
0,0,-2.266328367952719,sequential_centroid_match,0.0037677645173365467,45,2018-03-29,2022-10-24,2022-10-25,2022-11-21
1,2,1.9176088416698551,sequential_centroid_match,0.019915880860848615,45,2018-03-29,2022-10-24,2022-10-25,2022-11-21
2,3,15.114990624355945,sequential_centroid_match,0.005580226308012654,45,2018-03-29,2022-10-24,2022-10-25,2022-11-21
3,1,1.4595220477674342,sequential_centroid_match,0.01845942542295426,45,2018-03-29,2022-10-24,2022-10-25,2022-11-21
0,1,1.4401381880362019,sequential_centroid_match,0.007691953201713385,46,2018-03-29,2022-11-21,2022-11-22,2022-12-20
1,2,1.8958330196234887,sequential_centroid_match,0.014330937557822956,46,2018-03-29,2022-11-21,2022-11-22,2022-12-20
2,0,-2.2831042118519367,sequential_centroid_match,0.0037982076879890833,46,2018-03-29,2022-11-21,2022-11-22,2022-12-20
3,3,14.909193386104468,sequential_centroid_match,0.06475818615942035,46,2018-03-29,2022-11-21,2022-11-22,2022-12-20
0,0,-2.27146726742419,sequential_centroid_match,0.006169786357399166,47,2018-03-29,2022-12-20,2022-12-21,2023-01-20
1,2,1.906824831039982,sequential_centroid_match,0.006112257001919676,47,2018-03-29,2022-12-20,2022-12-21,2023-01-20
2,1,1.4516187104292886,sequential_centroid_match,0.007410222026834304,47,2018-03-29,2022-12-20,2022-12-21,2023-01-20
3,3,14.995094178856595,sequential_centroid_match,0.004253345712385646,47,2018-03-29,2022-12-20,2022-12-21,2023-01-20
0,2,1.9189389030871444,sequential_centroid_match,0.007353220096173558,48,2018-03-29,2023-01-20,2023-01-23,2023-02-17
1,0,-2.267146822886157,sequential_centroid_match,0.008546493427290013,48,2018-03-29,2023-01-20,2023-01-23,2023-02-17
2,3,15.08510411533032,sequential_centroid_match,0.002513306496205827,48,2018-03-29,2023-01-20,2023-01-23,2023-02-17
3,1,1.4281061131106754,sequential_centroid_match,0.009206068983644195,48,2018-03-29,2023-01-20,2023-01-23,2023-02-17
0,2,1.8668303458346425,sequential_centroid_match,0.008798466166293803,49,2018-03-29,2023-02-17,2023-02-21,2023-03-20
1,0,-2.270422446582715,sequential_centroid_match,0.002515837595652198,49,2018-03-29,2023-02-17,2023-02-21,2023-03-20
2,1,1.4184298784919323,sequential_centroid_match,0.004077755415199523,49,2018-03-29,2023-02-17,2023-02-21,2023-03-20
3,3,14.957670257697513,sequential_centroid_match,0.08137998700488658,49,2018-03-29,2023-02-17,2023-02-21,2023-03-20
0,0,-2.2824300959009385,sequential_centroid_match,0.0034719058659129247,50,2018-03-29,2023-03-20,2023-03-21,2023-04-18
1,2,1.8373025486417465,sequential_centroid_match,0.0067656391632868315,50,2018-03-29,2023-03-20,2023-03-21,2023-04-18
2,1,1.4105699318942688,sequential_centroid_match,0.005371782200263155,50,2018-03-29,2023-03-20,2023-03-21,2023-04-18
3,3,15.019744457328983,sequential_centroid_match,0.004193654003062414,50,2018-03-29,2023-03-20,2023-03-21,2023-04-18
0,2,1.8538390465939871,sequential_centroid_match,0.004211021674986232,51,2018-03-29,2023-04-18,2023-04-19,2023-05-16
1,0,-2.2725834481217055,sequential_centroid_match,0.0032195890607794866,51,2018-03-29,2023-04-18,2023-04-19,2023-05-16
2,3,15.0966169317132,sequential_centroid_match,0.0024781759267283607,51,2018-03-29,2023-04-18,2023-04-19,2023-05-16
3,1,1.4099824554057072,sequential_centroid_match,0.004766770268940899,51,2018-03-29,2023-04-18,2023-04-19,2023-05-16
0,1,1.3931385584767257,sequential_centroid_match,0.01228572872066044,52,2018-03-29,2023-05-16,2023-05-17,2023-06-14
1,3,15.164946268160302,sequential_centroid_match,0.0032945181930568676,52,2018-03-29,2023-05-16,2023-05-17,2023-06-14
2,2,1.8726909439125619,sequential_centroid_match,0.004139068978242906,52,2018-03-29,2023-05-16,2023-05-17,2023-06-14
3,0,-2.269830710806431,sequential_centroid_match,0.0032093258267891426,52,2018-03-29,2023-05-16,2023-05-17,2023-06-14
0,0,-2.2639871674209133,sequential_centroid_match,0.006965429880113574,53,2018-03-29,2023-06-14,2023-06-15,2023-07-14
1,1,1.4672647831024197,sequential_centroid_match,0.010451677431254478,53,2018-03-29,2023-06-14,2023-06-15,2023-07-14
2,2,1.8266689804483436,sequential_centroid_match,0.01450948594593618,53,2018-03-29,2023-06-14,2023-06-15,2023-07-14
3,3,15.214348355289157,sequential_centroid_match,0.008996593514755282,53,2018-03-29,2023-06-14,2023-06-15,2023-07-14
0,3,15.313806118468896,sequential_centroid_match,0.0025976119665557657,54,2018-03-29,2023-07-14,2023-07-17,2023-08-11
1,1,1.4227205104824776,sequential_centroid_match,0.012794409912953612,54,2018-03-29,2023-07-14,2023-07-17,2023-08-11
2,2,1.9277677303890572,sequential_centroid_match,0.011260256042605714,54,2018-03-29,2023-07-14,2023-07-17,2023-08-11
3,0,-2.2460640591497207,sequential_centroid_match,0.008456444535795813,54,2018-03-29,2023-07-14,2023-07-17,2023-08-11
